District,Lat,Lon,Price
Allermöhe,53.4836,10.125,10.8
Alsterdorf,53.6105412,10.0038889,13.88
Altengamme,53.4297246,10.272787,
Altenwerder,53.5047,9.92056,
Altona-Altstadt,53.5496598,9.945352,15.36
Altona-Nord,53.5614,9.94472,16.25
Bahrenfeld,53.5690699,9.9055827,13.61
Barmbek-Nord,53.5988941,10.0480997,12.47
Barmbek-Süd,53.5798851,10.0432506,14.5
Bergedorf,53.46072125,10.1719107244438,11.91
Bergstedt,53.6734296,10.1268758,11.79
Billbrook,53.5275068,10.0867824,
Billstedt,53.5488992,10.1226247,10.22
Billwerder,53.4991884,10.1346105,
Blankenese,53.5575,9.80306,15.46
Borgfelde,53.5550288,10.0332999,12.55
Bramfeld,53.616809,10.0790012,11.27
Cranz,53.537285,9.7779288,
Curslack,53.4490678,10.2290905,10.09
Dulsberg,53.5825665,10.0629287,11.5
Duvenstedt,53.7055213,10.1043167,11.63
Eidelstedt,53.605,9.91611,10.87
Eilbek,53.5672366,10.0452407,13.75
Eimsbüttel,53.5724835,9.9501,14.12
Eißendorf,53.4513998,9.9421973,9.91
Eppendorf,53.5903912,9.9868771,16.41
Farmsen-Berne,53.6100427,10.1124083,11.4
Finkenwerder,53.5316845,9.8766229,9.34
Francop,53.5040949,9.8776069,
Fuhlsbüttel,53.6323399,10.0233695,12.11
Groß Borstel,53.6086,9.98694,12.45
Groß Flottbek,53.5655862,9.8792333,13.02
Gut Moor,53.4493851,10.0181178,
HafenCity,53.5429127,9.9958346,20.68
Hamburg-Altstadt,53.55049605,9.99794674734212,21.2
Hamm,53.5534434,10.0512944,11.82
Hammerbrook,53.5468152,10.0265586,18.4
Harburg,53.4541741,9.9890136,10.76
Harvestehude,53.5754331,9.9804402,19.43
Hausbruch,53.4714406,9.8801135,9.83
Heimfeld,53.4637464,9.9453124,10.0
Hoheluft-Ost,53.5834338,9.9752203,17.27
Hoheluft-West,53.5807542,9.9683313,14.81
Hohenfelde,53.561882,10.0211917,17.69
Horn,53.5540624,10.0889179,11.0
Hummelsbüttel,53.6397433,10.0395255,11.2
Iserbrook,53.5781026,9.8280542,11.98
Jenfeld,53.5772,10.1281,11.14
Kirchwerder,53.4206766,10.1999146,9.8
Kleiner Grasbrook,53.5285492,9.9976944,
Langenbek,53.4321415,9.9893107,9.27
Langenhorn,53.6633,10.0083,12.27
Lemsahl-Mellingstedt,53.6811,10.0867,13.14
Lohbrügge,53.5063478,10.2086426,10.71
Lokstedt,53.6023971,9.9566624,13.54
Lurup,53.5929519,9.874564,10.54
Marienthal,53.5651302,10.0823813,14.97
Marmstorf,53.4394131,9.9520526,10.41
Moorburg,53.4848635,9.9238297,
Moorfleet,53.5092,10.0828,
Neuallermöhe,53.4830602,10.1630488,
Neuenfelde,53.5182412,9.8079161,
Neuengamme,53.4379045,10.2260934,
Neugraben-Fischbek,53.4739581,9.8426482,9.59
Neuland,53.4672,10.0297,
Neustadt,53.5498808,9.9790482,16.37
Neuwerk,53.93313675,8.43604552715769,
Niendorf,53.6284111,9.9557091,11.92
Nienstedten,53.5524166,9.8443521,16.49
Ochsenwerder,53.4752031,10.0810767,11.23
Ohlsdorf,53.6215437,10.0377601,11.42
Osdorf,53.5738475,9.8602253,12.84
Othmarschen,53.5550626,9.8878602,15.21
Ottensen,53.5550658,9.9198188,14.42
Poppenbüttel,53.6564,10.0742,11.89
Rahlstedt,53.6038827,10.1581547,11.2
Reitbrook,53.4688446,10.1521229,
Rissen,53.5847,9.75639,11.57
Rönneburg,53.4367554,10.0090562,10.66
Rothenburgsort,53.5355872,10.0369161,10.7
Rotherbaum,53.5684065,9.9874317,16.87
Sasel,53.6522,10.1169,11.88
Schnelsen,53.6374003,9.9188308,10.81
Sinstorf,53.4245599,9.9772033,10.06
Spadenland,53.4814,10.0664,
St.Georg,53.5569933,10.0141623,16.36
St.Pauli,53.5539347,9.9594316,15.3
Steilshoop,53.6106843,10.058728,10.6
Steinwerder,53.5393237,9.9615407,
Stellingen,53.5967771,9.9284099,14.22
Sternschanze,53.5617679,9.9632822,13.87
Sülldorf,53.5814103,9.7963373,13.2
Tatenberg,53.4936,10.0797,
Tonndorf,53.5869,10.1175,10.18
Uhlenhorst,53.5715093,10.0127361,17.0
Veddel,53.5278014,10.0217136,8.93
Volksdorf,53.6485554,10.1647514,11.92
Waltershof,53.5196541,9.9109317,
Wandsbek,53.5760029,10.0755348,12.44
Wellingsbüttel,53.6431,10.0897,13.06
Wilhelmsburg,53.4922921,9.9962167,10.56
Wilstorf,53.4455855,9.9816167,9.8
Winterhude,53.5963901,10.0038317,16.17
Wohldorf-Ohlstedt,53.7019,10.1306,10.47
