District,Cafés
Allermöhe,0
Alsterdorf,1
Altengamme,0
Altenwerder,0
Altona-Altstadt,1
Altona-Nord,0
Bahrenfeld,0
Barmbek-Nord,0
Barmbek-Süd,0
Bergedorf,0
Bergstedt,0
Billbrook,0
Billstedt,0
Billwerder,0
Blankenese,2
Borgfelde,0
Bramfeld,1
Cranz,0
Curslack,0
Dulsberg,0
Duvenstedt,1
Eidelstedt,0
Eilbek,3
Eimsbüttel,3
Eißendorf,0
Eppendorf,4
Farmsen-Berne,0
Finkenwerder,0
Francop,0
Fuhlsbüttel,1
Groß Borstel,0
Groß Flottbek,1
Gut Moor,0
HafenCity,2
Hamburg-Altstadt,11
Hamm,0
Hammerbrook,1
Harburg,0
Harvestehude,1
Hausbruch,0
Heimfeld,0
Hoheluft-Ost,11
Hoheluft-West,5
Hohenfelde,0
Horn,1
Hummelsbüttel,0
Iserbrook,0
Jenfeld,0
Kirchwerder,0
Kleiner Grasbrook,0
Langenbek,0
Langenhorn,0
Lemsahl-Mellingstedt,0
Lohbrügge,0
Lokstedt,1
Lurup,0
Marienthal,0
Marmstorf,1
Moorburg,0
Moorfleet,0
Neuallermöhe,0
Neuenfelde,0
Neuengamme,0
Neugraben-Fischbek,0
Neuland,1
Neustadt,9
Neuwerk,0
Niendorf,0
Nienstedten,0
Ochsenwerder,0
Ohlsdorf,2
Osdorf,1
Othmarschen,0
Ottensen,2
Poppenbüttel,0
Rahlstedt,0
Reitbrook,0
Rissen,0
Rönneburg,0
Rothenburgsort,0
Rotherbaum,11
Sasel,0
Schnelsen,0
Sinstorf,0
Spadenland,0
St.Georg,5
St.Pauli,13
Steilshoop,0
Steinwerder,0
Stellingen,0
Sternschanze,15
Sülldorf,0
Tatenberg,1
Tonndorf,1
Uhlenhorst,2
Veddel,0
Volksdorf,0
Waltershof,0
Wandsbek,0
Wellingsbüttel,0
Wilhelmsburg,0
Wilstorf,0
Winterhude,5
Wohldorf-Ohlstedt,0
