District,Lat,Lon,Price,Cluster,ClusterName,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Alsterdorf,53.6105412,10.0038889,13.88,4,Food & Drink,Bus Stop,Asian Restaurant,Hotel,Pet Store,Supermarket,Bridge,Bakery,Café,Park,Nature Preserve
Altona-Altstadt,53.5496598,9.945352,15.36,4,Food & Drink,Bakery,Italian Restaurant,Drugstore,Burger Joint,Supermarket,Mexican Restaurant,Sports Club,Furniture / Home Store,Market,Park
Altona-Nord,53.5614,9.94472,16.25,4,Food & Drink,Supermarket,Nightclub,German Restaurant,Smoke Shop,Bakery,Hotel,Shipping Store,Sri Lankan Restaurant,Street Food Gathering,Soccer Field
Bahrenfeld,53.5690699,9.9055827,13.61,1,Supermarkets,Supermarket,Snack Place,Cosmetics Shop,Cocktail Bar,Park,Zoo Exhibit,Fish Market,Farmers Market,Fast Food Restaurant,Fish & Chips Shop
Barmbek-Nord,53.5988941,10.0480997,12.47,4,Food & Drink,Bus Stop,Electronics Store,Plaza,Taverna,Sushi Restaurant,Italian Restaurant,Park,Video Store,Playground,Pharmacy
Barmbek-Süd,53.5798851,10.0432506,14.5,4,Food & Drink,Supermarket,Bar,BBQ Joint,Bus Stop,German Restaurant,Fast Food Restaurant,Falafel Restaurant,Laundromat,Furniture / Home Store,Dessert Shop
Bergstedt,53.6734296,10.1268758,11.79,1,Supermarkets,Supermarket,Department Store,Bus Stop,Bakery,Dim Sum Restaurant,Fast Food Restaurant,Fried Chicken Joint,French Restaurant,Football Stadium,Design Studio
Billbrook,53.5275068,10.0867824,,2,Outdoor & Recreation,Hotel,Bus Stop,Transportation Service,Zoo Exhibit,Falafel Restaurant,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food
Billstedt,53.5488992,10.1226247,10.22,4,Food & Drink,Soccer Field,Bus Stop,German Restaurant,Pub,Flower Shop,Lighting Store,Zoo Exhibit,Farm,Football Stadium,Food Court
Billwerder,53.4991884,10.1346105,,4,Food & Drink,Light Rail Station,Soccer Field,Food & Drink Shop,Fruit & Vegetable Store,French Restaurant,Football Stadium,Food Court,Food,Flower Shop,Fish Market
Blankenese,53.5575,9.80306,15.46,4,Food & Drink,Restaurant,Beach,Hotel,Snack Place,Seafood Restaurant,Café,Lighthouse,Neighborhood,Harbor / Marina,Bavarian Restaurant
Borgfelde,53.5550288,10.0332999,12.55,4,Food & Drink,Asian Restaurant,Hotel,Park,Food,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Fish Market,Flower Shop,Zoo Exhibit
Bramfeld,53.616809,10.0790012,11.27,4,Food & Drink,Bakery,Supermarket,Bar,Grocery Store,Bank,Toy / Game Store,German Restaurant,Fish Market,Music Store,Plaza
Cranz,53.537285,9.7779288,,3,German Restaurants & Zoo,German Restaurant,Zoo Exhibit,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Curslack,53.4490678,10.2290905,10.09,1,Supermarkets,Supermarket,Zoo Exhibit,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Dulsberg,53.5825665,10.0629287,11.5,1,Supermarkets,Supermarket,Bakery,Bus Stop,Park,Metro Station,Shipping Store,BBQ Joint,Flower Shop,Fast Food Restaurant,Fish & Chips Shop
Duvenstedt,53.7055213,10.1043167,11.63,1,Supermarkets,Supermarket,Pizza Place,Park,Burger Joint,Café,Farmers Market,Modern European Restaurant,Plaza,Ice Cream Shop,Dim Sum Restaurant
Eidelstedt,53.605,9.91611,10.87,2,Outdoor & Recreation,Outdoors & Recreation,Bus Stop,Hostel,Zoo Exhibit,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Eilbek,53.5672366,10.0452407,13.75,4,Food & Drink,Café,Ice Cream Shop,Trattoria/Osteria,Bakery,Greek Restaurant,Bistro,Asian Restaurant,Lighthouse,Dim Sum Restaurant,Food Court
Eimsbüttel,53.5724835,9.9501,14.12,4,Food & Drink,Bakery,Supermarket,Italian Restaurant,Park,Drugstore,Café,Bookstore,Bar,Pharmacy,Metro Station
Eißendorf,53.4513998,9.9421973,9.91,1,Supermarkets,Supermarket,Bus Stop,Lawyer,Zoo Exhibit,Falafel Restaurant,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food
Eppendorf,53.5903912,9.9868771,16.41,4,Food & Drink,Coffee Shop,Italian Restaurant,Bakery,Drugstore,Supermarket,Bistro,Ice Cream Shop,Gastropub,Organic Grocery,Farmers Market
Farmsen-Berne,53.6100427,10.1124083,11.4,4,Food & Drink,Playground,Metro Station,Supermarket,German Restaurant,Fruit & Vegetable Store,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food
Finkenwerder,53.5316845,9.8766229,9.34,1,Supermarkets,Supermarket,Seafood Restaurant,Bakery,Ice Cream Shop,Zoo Exhibit,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Fish Market,Food
Francop,53.5040949,9.8776069,,4,Food & Drink,Flower Shop,Turkish Restaurant,Furniture / Home Store,Zoo Exhibit,Falafel Restaurant,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop
Fuhlsbüttel,53.6323399,10.0233695,12.11,4,Food & Drink,Supermarket,Ice Cream Shop,Bakery,Metro Station,Bus Stop,Sports Club,Martial Arts Dojo,Café,Chinese Restaurant,Greek Restaurant
Groß Borstel,53.6086,9.98694,12.45,2,Outdoor & Recreation,Bus Stop,Athletics & Sports,Greek Restaurant,Zoo Exhibit,Farm,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop
Groß Flottbek,53.5655862,9.8792333,13.02,1,Supermarkets,Supermarket,Hotel,Bakery,Café,Pharmacy,Farmers Market,Food Court,Food & Drink Shop,Farm,Food
HafenCity,53.5429127,9.9958346,20.68,4,Food & Drink,Restaurant,Hotel,German Restaurant,Italian Restaurant,Bar,Tapas Restaurant,Bistro,Tea Room,Asian Restaurant,Pedestrian Plaza
Hamburg-Altstadt,53.55049605,9.99794674734212,21.2,4,Food & Drink,Burger Joint,Café,Coffee Shop,Italian Restaurant,Clothing Store,Asian Restaurant,Vietnamese Restaurant,Hotel,Bakery,Cosmetics Shop
Hamm,53.5534434,10.0512944,11.82,1,Supermarkets,Supermarket,Greek Restaurant,Arts & Crafts Store,Chinese Restaurant,Market,Bike Rental / Bike Share,Sandwich Place,Metro Station,Bus Stop,Pharmacy
Hammerbrook,53.5468152,10.0265586,18.4,4,Food & Drink,Italian Restaurant,Business Service,Bakery,Gym,Bus Stop,Auto Dealership,Fast Food Restaurant,Bed & Breakfast,Bank,Coffee Shop
Harburg,53.4541741,9.9890136,10.76,4,Food & Drink,Restaurant,Supermarket,Asian Restaurant,Fast Food Restaurant,Electronics Store,Drugstore,Clothing Store,Bar,Italian Restaurant,Art Gallery
Harvestehude,53.5754331,9.9804402,19.43,4,Food & Drink,Restaurant,Supermarket,German Restaurant,Pub,Salon / Barbershop,Drugstore,Steakhouse,Café,Scandinavian Restaurant,Mediterranean Restaurant
Hausbruch,53.4714406,9.8801135,9.83,1,Supermarkets,Light Rail Station,Supermarket,Home Service,Asian Restaurant,Food Court,Food & Drink Shop,Football Stadium,Food,Fair,Flower Shop
Heimfeld,53.4637464,9.9453124,10.0,1,Supermarkets,Bakery,Locksmith,Taverna,Supermarket,Hockey Field,Zoo Exhibit,Fish Market,Fast Food Restaurant,Fish & Chips Shop,Flower Shop
Hoheluft-Ost,53.5834338,9.9752203,17.27,4,Food & Drink,Café,Vietnamese Restaurant,Italian Restaurant,Furniture / Home Store,Supermarket,Bakery,Cocktail Bar,Asian Restaurant,Burger Joint,Sushi Restaurant
Hoheluft-West,53.5807542,9.9683313,14.81,4,Food & Drink,Café,Vietnamese Restaurant,Bakery,Burger Joint,Italian Restaurant,Pizza Place,Doner Restaurant,Asian Restaurant,Supermarket,Cocktail Bar
Hohenfelde,53.561882,10.0211917,17.69,4,Food & Drink,Hotel,Restaurant,Hotel Bar,Italian Restaurant,Park,Bakery,Tapas Restaurant,Greek Restaurant,Thai Restaurant,German Restaurant
Horn,53.5540624,10.0889179,11.0,4,Food & Drink,Bakery,Mediterranean Restaurant,Café,Supermarket,Park,Turkish Restaurant,Pharmacy,Food & Drink Shop,Food,Falafel Restaurant
Hummelsbüttel,53.6397433,10.0395255,11.2,2,Outdoor & Recreation,Bus Stop,Italian Restaurant,Pharmacy,Liquor Store,Zoo Exhibit,Farm,French Restaurant,Football Stadium,Food Court,Food & Drink Shop
Iserbrook,53.5781026,9.8280542,11.98,1,Supermarkets,Bank,Pet Store,Bakery,Bus Stop,Supermarket,Pilates Studio,Football Stadium,Food Court,French Restaurant,Farm
Jenfeld,53.5772,10.1281,11.14,1,Supermarkets,Gym / Fitness Center,Soccer Field,Supermarket,Bus Stop,Park,Falafel Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food
Kirchwerder,53.4206766,10.1999146,9.8,4,Food & Drink,Furniture / Home Store,Basketball Court,Zoo Exhibit,Fried Chicken Joint,French Restaurant,Football Stadium,Food Court,Food & Drink Shop,Food,Flower Shop
Kleiner Grasbrook,53.5285492,9.9976944,,4,Food & Drink,Harbor / Marina,Boat or Ferry,History Museum,General Entertainment,Zoo Exhibit,Fish Market,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Food
Langenbek,53.4321415,9.9893107,9.27,1,Supermarkets,Supermarket,Shopping Mall,Bus Stop,Eastern European Restaurant,Zoo Exhibit,Farm,French Restaurant,Football Stadium,Food Court,Food & Drink Shop
