District,District Lat,District Lon,Venue,Venue Lat,Venue Lon,Venue Category
Alsterdorf,53.6105412,10.0038889,Eppendorfer Moor,53.61331497068441,10.002277050624514,Nature Preserve
Alsterdorf,53.6105412,10.0038889,REWE,53.60768722495603,10.005800179880545,Supermarket
Alsterdorf,53.6105412,10.0038889,Best Western Premier Alsterkrug Hotel,53.61308027653405,9.999036652778614,Hotel
Alsterdorf,53.6105412,10.0038889,Eiskaffee Eis Perle,53.608354075112125,10.009393749713743,Ice Cream Shop
Alsterdorf,53.6105412,10.0038889,Braband,53.613329689387285,10.002280887148505,Café
Alsterdorf,53.6105412,10.0038889,H Alsterdorfer Damm,53.6132787006377,10.00225851868278,Bus Stop
Alsterdorf,53.6105412,10.0038889,Dammbrücke,53.613285346882535,10.002271847799033,Bridge
Alsterdorf,53.6105412,10.0038889,Alsterufer,53.61329428466996,10.00226094125458,Park
Alsterdorf,53.6105412,10.0038889,Zoo-Markt Alsterdorf GmbH,53.61331275434732,10.002265606295008,Pet Store
Alsterdorf,53.6105412,10.0038889,Vu Asia Bistro,53.61331431303652,10.002273294115657,Asian Restaurant
Alsterdorf,53.6105412,10.0038889,DAS FUTTERHAUS,53.613377854242614,10.002400806951629,Pet Store
Alsterdorf,53.6105412,10.0038889,FuLu Restaurant,53.60736846923828,10.005505561828613,Asian Restaurant
Alsterdorf,53.6105412,10.0038889,H Carl-Cohn-Straße,53.606906559715235,10.00512032137404,Bus Stop
Alsterdorf,53.6105412,10.0038889,Roxie,53.608195,10.00924822,Diner
Alsterdorf,53.6105412,10.0038889,Konditorei Fastert,53.6084194616123,10.00954827247975,Bakery
Alsterdorf,53.6105412,10.0038889,H Brabandstraße,53.613266306447635,10.008909970774493,Bus Stop
Alsterdorf,53.6105412,10.0038889,Happy Vietnam,53.60790703880482,10.009555513247982,Vietnamese Restaurant
Alsterdorf,53.6105412,10.0038889,Appartello,53.61448730668124,10.00049620105768,Hotel
Altona-Altstadt,53.5496598,9.945352,dm-drogerie markt,53.551502,9.943762,Drugstore
Altona-Altstadt,53.5496598,9.945352,Sait Köz,53.55142984227786,9.946825896842185,Restaurant
Altona-Altstadt,53.5496598,9.945352,Altonaer Turnverband (ATV),53.54892093669775,9.949058993857928,Sports Club
Altona-Altstadt,53.5496598,9.945352,First Stage Theater,53.55233341707228,9.948753118515015,Performing Arts Venue
Altona-Altstadt,53.5496598,9.945352,IKEA,53.55174509921777,9.941327501572681,Furniture / Home Store
Altona-Altstadt,53.5496598,9.945352,EDEKA,53.55168040804204,9.944026465668383,Supermarket
Altona-Altstadt,53.5496598,9.945352,Vapiano,53.5516966384844,9.939669407888635,Italian Restaurant
Altona-Altstadt,53.5496598,9.945352,TK Maxx,53.5514804656631,9.938934265286413,Clothing Store
Altona-Altstadt,53.5496598,9.945352,El Pikosito,53.547806,9.94171,Mexican Restaurant
Altona-Altstadt,53.5496598,9.945352,Krögers Kleine Schwester,53.55195030813047,9.940456626481327,Bistro
Altona-Altstadt,53.5496598,9.945352,denn's Biomarkt,53.5517972162978,9.942934482374108,Organic Grocery
Altona-Altstadt,53.5496598,9.945352,Altuna,53.551798,9.944838,Seafood Restaurant
Altona-Altstadt,53.5496598,9.945352,Bergtags,53.551741,9.94326,Café
Altona-Altstadt,53.5496598,9.945352,Altona City Market,53.55183938246083,9.940827234250312,Grocery Store
Altona-Altstadt,53.5496598,9.945352,Jim Block,53.55166292931424,9.939198980361475,Burger Joint
Altona-Altstadt,53.5496598,9.945352,Claus Kröger,53.551686548145774,9.940739774372775,Gourmet Shop
Altona-Altstadt,53.5496598,9.945352,Taverna Priamos,53.552979,9.947944,Taverna
Altona-Altstadt,53.5496598,9.945352,The Lesser Panda Ramen,53.552028,9.940382,Ramen Restaurant
Altona-Altstadt,53.5496598,9.945352,macro computersysteme,53.55170987945555,9.94296333212337,Electronics Store
Altona-Altstadt,53.5496598,9.945352,Lidl,53.55348134534617,9.94420603798004,Supermarket
Altona-Altstadt,53.5496598,9.945352,Hackbaron Beefbar,53.55204154515463,9.939880841715256,Burger Joint
Altona-Altstadt,53.5496598,9.945352,Kingdom Of Sports,53.55155859619493,9.943458821722274,Gym / Fitness Center
Altona-Altstadt,53.5496598,9.945352,Hook Dogs,53.55166996150767,9.939418206246312,Hot Dog Joint
Altona-Altstadt,53.5496598,9.945352,Gasthaus,53.55321,9.949358,Italian Restaurant
Altona-Altstadt,53.5496598,9.945352,Bäckerei Allaf,53.55161575581675,9.944737761876677,Bakery
Altona-Altstadt,53.5496598,9.945352,Filippi Eisdiele,53.55186816100357,9.942232048327316,Ice Cream Shop
Altona-Altstadt,53.5496598,9.945352,Lee-Asia-Shop,53.55176138480075,9.944218855460058,Food & Drink Shop
Altona-Altstadt,53.5496598,9.945352,Marktplatz Altona,53.55180401630844,9.939546994229604,Market
Altona-Altstadt,53.5496598,9.945352,Stadt Altona Hotel Hamburg,53.551573820428416,9.949405092916209,Hotel
Altona-Altstadt,53.5496598,9.945352,Brot und Brötchen,53.55171372646306,9.939967419782553,Bakery
Altona-Altstadt,53.5496598,9.945352,Lornsenplatz,53.55319072471014,9.943086555518603,Plaza
Altona-Altstadt,53.5496598,9.945352,Budnikowsky,53.55161977363556,9.93858282693294,Drugstore
Altona-Altstadt,53.5496598,9.945352,Kleiner Goethepark,53.552363,9.94014,Park
Altona-Altstadt,53.5496598,9.945352,Backwaren Knüppel,53.553697588664406,9.948654112555072,Bakery
Altona-Nord,53.5614,9.94472,Anno 1905,53.56102593921569,9.947750052536685,German Restaurant
Altona-Nord,53.5614,9.94472,Macaibo,53.560376,9.948465,Venezuelan Restaurant
Altona-Nord,53.5614,9.94472,Aalhaus,53.559399142071506,9.946953251787459,Bar
Altona-Nord,53.5614,9.94472,Quatsch Comedy Club,53.56254926821268,9.948993474039156,Comedy Club
Altona-Nord,53.5614,9.94472,Neue Flora,53.562476224917624,9.949729442596436,Performing Arts Venue
Altona-Nord,53.5614,9.94472,Tibet,53.55846805172985,9.939434700720389,Asian Restaurant
Altona-Nord,53.5614,9.94472,Blaue Blume,53.55970680077474,9.93978132881298,German Restaurant
Altona-Nord,53.5614,9.94472,EDEKA Sven Anders,53.55900363801654,9.950079352813617,Supermarket
Altona-Nord,53.5614,9.94472,Feuervogel Altona,53.55937244084653,9.948987893954614,Restaurant
Altona-Nord,53.5614,9.94472,Juice Club,53.56292228693525,9.944665431976318,Nightclub
Altona-Nord,53.5614,9.94472,Shankra Quick,53.56030728056864,9.948345824983734,Indian Restaurant
Altona-Nord,53.5614,9.94472,Restaurant Breitengrad,53.5639057665144,9.95047945644804,Sri Lankan Restaurant
